iphone 15,Mobile battery consumption very fastSo that I charge 3 times to charge in a dayREAD MORE
iphone 15,Everything lovely Just for the first time u wont feel much difference b/w pro and non pro model iphones.READ MORE
iphone 15,I upgraded from iPhone 13 to 15 and this phone is awesome worth the money go for itREAD MORE
iphone 15,Awesome phone ❤️READ MORE
iphone 15,Nice device!READ MORE
iphone 15,"Battery is worst!I am moving from android, so i feel my 20k android phone is better than this iphone. Although i brought this for apple ecosystem!READ MORE"
iphone 15,Coming from iphone 12 mini.Camera is definitely a upgrade over the previous generation.Design outside remains the same. Pastel colours with matte finish.The Dynamic Island is what i liked for the notification part.Processor of previous generation pro models.Overall a value for money among the 15 models.Got it a great deal in flipkart clubbing exchange and bank offers.Delivery was on time.READ MORE
iphone 15,Awasome Phone Awasome Camera🐼........Rest is History DuduREAD MORE
iphone 15,Superb... Shifted from Android to iPhone 15..classs👍READ MORE
iphone 15,Nice Product Thanks for Flipkart Camera 10/10Battery 8/10Display 10/10READ MORE
iphone 15,I order smartphone from Flipkart. This is my 4th phone i order. I have had the best experience every time.READ MORE
iphone 15,"Great phone except the battery, which isn't bad as well. Just not as good as other flagshipsREAD MORE"
iphone 15,Very nice product 👌👌👌👌👌READ MORE
iphone 15,Loved it 🥰READ MORE
iphone 15,Amazing one_____😍😘✌️READ MORE
iphone 15,Performance superREAD MORE
iphone 15,SuperREAD MORE
iphone 15,Only 90fps is need And best phone of the year goes to this phoneREAD MORE
iphone 15,A fantastic product. I was an iPhone 13 user I have upgraded to this. Brilliant display. I can see a great difference in battery backup. I can also say that the Dynamic Island helps in UI to the users. Looks premium. Price range might drop in a year. Thanks for Flipkart sale days.READ MORE
iphone 15,Overall sameREAD MORE
iphone 15,Nice one 🫶READ MORE
iphone 15,Amazing product❤️❤️Best iPhone out of all the iPhone seriesREAD MORE
iphone 15,Awesome😍switch from android to iOSREAD MORE
iphone 15,"This is an amazing phone and back side of phone is frozen glass which makes it less prone to finger marks while holding. Till now enjoying it, will update with further details after a week.READ MORE"
iphone 15,Nice ColourREAD MORE
iphone 15,Fully satisfied 👍🏻READ MORE
iphone 15,"Upgraded from iPhone 11, The camera quality is awesomeThe display quality is great and the dynamic island working perfectlyHappy with Apple and FlipkartREAD MORE"
iphone 15,v v goodREAD MORE
iphone 15,Not giving a fast refresh rate is really a bad idea.Shame on you apple...with this range of phone this kind of average feature should have been given.READ MORE
iphone 15,Design n Build Quality is Best in Class.Performance is amazing.Camera is Good.READ MORE
iphone 15,Coming from iphone 12 mini.Camera is definitely a upgrade over the previous generation.Design outside remains the same. Pastel colours with matte finish.The Dynamic Island is what i liked for the notification part.Processor of previous generation pro models.Overall a value for money among the 15 models.Got it a great deal in flipkart clubbing exchange and bank offers.Delivery was on time.READ MORE
iphone 15,Not giving a fast refresh rate is really a bad idea.Shame on you apple...with this range of phone this kind of average feature should have been given.READ MORE
iphone 15,Overall sameREAD MORE
iphone 15,Awesome qualityREAD MORE
iphone 15,"The best part of camera is cinematic video which is fabulous. Rest of the things are good, but cinematic mode is on next level, higher rate is missing which may hurt phone noise cancellation is on. Also next level. Some small small features which make sweet point to use and make it different from android efforts of making iOS and developing some sweet sweet things are appreciable and if you have MacBook or iPad, ecosystem work, fantastically the best things for this iPhone is much much better...READ MORE"
iphone 15,Value for Money ❤️🌸READ MORE
iphone 15,After 1 month of usage 29 charging cycles done battery drains rapidly and battery health is down to 99 %READ MORE
iphone 15,Camera quality are too Great Display awesome Battery is average Design is very nice Overall very goodREAD MORE
iphone 15,-Wonderful performance-Camera quality is superb-battery backup not that good-sound quality is awesomeREAD MORE
iphone 15,Best photo for iPhone 15READ MORE
iphone 15,Switched from Redmi 12 5G to Iphone 15 . It feels like I have never used Phone. Totally Worth It and the Feeling of using Iphone is Super Awesome.READ MORE
iphone 15,Amazing one_____😍😘✌️READ MORE
iphone 15,Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... I'm writing now again for review...it's really maintained its premium imageREAD MORE
iphone 15,Best mobile phoneCamera quality is very nice Battery backup is very good Sound quality is amazing.READ MORE
iphone 15,Overall performance is best.Good aesthetic and nice color. Only thing worries me that it gets really hot with increase of brightness and during 15 min video call..READ MORE
iphone 15,Everything lovely Just for the first time u wont feel much difference b/w pro and non pro model iphones.READ MORE
iphone 15,Awesome camra quality superb camra 😊READ MORE
iphone 15,"Mind blowing purchase, I received the right item. Thank you Flipkart.If telling about iPhone its value for moneyGreat camera and video. 5/5Display 5/5Sound and heroics 5/5 Overall good.READ MORE"
iphone 15,What a phone super performance with light weight. Please find my details review as follows. 1. Camera - camera is super with very gud quality photo even at night as well. 2. Battery - battery backup is fine and will last for one day long. 3. Performance - iphone 15 performance is super. No lagging and no heating issue. Cons-1. Battery could be better at this price range. 2. Face recognition is not good as not always open with face IDREAD MORE
iphone 15,The best one from apple💙READ MORE
iphone 15,Very goodREAD MORE
iphone 15,Awestruck by its performance 👌READ MORE
iphone 15,First time experiencing I phone. It feels premium and quality is awesome love it ❤️❤️❤️READ MORE
iphone 15,Camera quality is not good images and videos are not clear.READ MORE
iphone 15,"Overall, I'm very happy with the phone. It's a great all-around phone with a powerful processor, a long-lasting battery, and a great camera. I would definitely recommend it to anyone looking for a new phone.READ MORE"
iphone 15,I love itREAD MORE
iphone 15,Amazing. This is my second iphone after 11 pro.Used it for 3 days till now. No heating issue. While setting up the device/updating ios/transferring data - it didn't heat at all. Smooth experience. Best buy for 2024.READ MORE
iphone 15,Look and design very niceREAD MORE
iphone 15,Amazing phone But Now days Chapri people Drop apple's brand value.READ MORE
iphone 15,Pros:1. Incredibly smart device this year2. iOS interface3. Data Privacy4. Premium build quality5. Dynamic Island6. Ecosystem benefits if you own other Apple devices7. Powerful processorCons:1. 60Hz refresh rate for a flagship (although not very noticeable)2. No improvements to Siri3. Expensive4. Low possibility of repairREAD MORE
iphone 15,Awesome quality I am very happy. Thank you Flipkart.READ MORE
iphone 15,"Bought it from flipkart, as I was getting the best price here!READ MORE"
iphone 15,"The best in class iphone. Many people may mock iPhone, but everyone have to accept that iPhone has the best in class features and technology. It is obviously not fair to compare iPhone and android because each have its own pros and cons. Seeing the features that iPhone provide at this price point is really of premium level and I am pretty sure you are gonna enjoy using this awesome device.Speaking about specs, iPhone 15 has the best camera till date, the best display, awesome battery managem...READ MORE"
iphone 15,As Expected 🤣😂🫣READ MORE
iphone 15,It is a really good phone for daily tasks. The cameras are great 48mp photos are very sharp and detailed. You can relay on this phone for 5 years. I have other apple products and the ecosystem is also great. Everything works seamlessly. For those who are switching from android:Battery life is good in this phone but compared to my previous phone which had 4500mAh battery I have to charge this phone 2 times in a day almost after limiting the battery to 80%. Overall it is a great phone the v...READ MORE
iphone 15,Heating issueREAD MORE
iphone 15,Excellent!!!READ MORE
iphone 15,Awesome.Camera too goodDisplay too goodBattery GoodFeels too goodREAD MORE
iphone 15,HandyREAD MORE
iphone 15,Very good deal and fastest delivery in next day.READ MORE
iphone 15,Super Good ProductREAD MORE
iphone 15,Loved it 🥰READ MORE
iphone 15,NiceREAD MORE
iphone 15,Amazing Camera and batteryREAD MORE
iphone 15,Nice phoneREAD MORE
iphone 15,My mom giftREAD MORE
iphone 15,Perfect 👍READ MORE
iphone 15,supperREAD MORE
iphone 15,Performance superREAD MORE
iphone 15,Nice Overall performance. Loved the inhand feel of the device 😍 Amazing camera qualityREAD MORE
iphone 15,Happy 😊READ MORE
iphone 15,SuperREAD MORE
iphone 15,Just wowBuy it nowREAD MORE
iphone 15,Best phone nice camera and performanceREAD MORE
iphone 15,Very nice. Awesome phoneREAD MORE
iphone 15,I phone is phone nothing but it's a brand that makes the cost. Better should be more improved. And it gives heat.READ MORE
iphone 15,"A Mixed Bag of BrillianceThe iPhone 15 flaunts an impressive camera setup, capturing moments with exceptional clarity and detail. However, users may encounter heating issues post 80% charge, which could disrupt prolonged usage. Occasionally, screen touch glitches may hamper the otherwise seamless user experience. Despite these setbacks, the iPhone 15 excels in performance and features. The standout Dynamic Island feature enhances productivity and personalization. Overall, the iPhone 15 is a...READ MORE"
iphone 15,"Actually phone is very good this is my first iPhone i found heating at back panel at normal usage also, it should be fixed asap because giving 80k for premium feel and still not feels worthy after heating, it gains heat very fast and cools down too but due to heat battery drop is very fast .READ MORE"
iphone 15,Very good productREAD MORE
iphone 15,Everything is good. Battery backup is hardly 6hrs will come while continuously usage. Camera is fantastic. In this iphone 60 hz refreshing rate is equals to 120hz refresh rate in android. Very light weight.READ MORE
iphone 15,Awesome buyREAD MORE
iphone 15,Am a Android User First Time Switching To IOS Really Its Awesome (iphone 15) Camera 5/5Battery 4/5Design 5/5Display 5/5Speaker 5/5READ MORE
iphone 15,Android is better than iosREAD MORE
iphone 15,Excellent purchase battery life is good for medium usage but can get you through the whole day on single charge. Am just loving this phoneREAD MORE
iphone 15,It was on republic sale. I got value for money.Piece is genuine.Camera is best with 48 MP primary lens.Performance is very good.There are some restrictions otherwise it is very good.READ MORE
iphone 15,The product is very nice just switched from iPhone XR. Was thinking to buy Samsung S24 but happy with this purchase.The camera is awesomeA single charge will last for a dayREAD MORE
iphone 15,best camera phone 🥰READ MORE
iphone 15,NiceREAD MORE
iphone 15,Very nice phone im happy very good 👍READ MORE
iphone 15,Camera quality SuperbREAD MORE
iphone 15,I can say the 60hz doesn't feel 60hz it is very smooth and may be because of appleI was too worried about the 60 hz because I was switching from 120hz Android (realme GT master edition) to this one but after using iphone 15 I feel lags in my android 120hzBut I feel camera quality is avg but videography is next level Love the speakerQuality of display is just wowCharging is also quite good and battery backup is also awesomeI am getting 5-6 hr gameplay(free fire+bgmi) from 100% to 25% qui...READ MORE
iphone 15,Very Best baseline iPhone ever. even if you have a iphone 14 it is still a upgrade. the new frosted glass and rounded edges make it premium feel. camera is just awesome. better than 14 pro camera. battery is just like iphone 14. type c is also a welcome with braided data cabel. just blue colour looks a lot like white.READ MORE
iphone 15,Very powerful phone. Camera is extremely good if one can adjust the settings. Battery backup is awesome. Design is handy. Features are cool. Price is reasonable.READ MORE
iphone 15,FantasticREAD MORE
iphone 15,"Phone is good built lightweight,handy, camera good quality, display great phone is nice if love it's OS and can spend that muchREAD MORE"
iphone 15,Good cameraREAD MORE
iphone 15,"Very good experience, highly recommended for upgradeREAD MORE"
iphone 15,Pic Quality AwesomeREAD MORE
iphone 15,"The only thing I like about this phone is the camera quality and that is the reason I bought this phone.I already have an Android phone which is less than 50% of its price and still is better in every aspect except the camera.Well! Definitely, iphone 15 has a flagship level chipset but I am not a gamer and a normal user and I find mid rangers and flagship all perform at similar level in daily tasks.While iphone 15 only has 60hz screen which feels choppy, all other phones have 120-144hz scr...READ MORE"
iphone 15,Not justifying the price .. bit disappointed about the  display (refresh rate should be high).. no differences between 12 and 15 except brightness .. those who willing to upgrade plz be ok with your 13 .. there is very low difference in day to day life use..but the Dynamic Island is awesome it is way better than expected..READ MORE
iphone 15,Smooth 🔥READ MORE
iphone 15,Having a great timeREAD MORE
iphone 15,"High quality camera The iPhone 15 has a new 48-megapixel main camera. The new camera sensor is larger than the one in the iPhone 14, and it has better low-light performance. The iPhone 15 also has a new 12-megapixel ultrawide camera and a new 12-megapixel telephoto camera.READ MORE"
iphone 15,"AFTER ONE WEEK OVERALL PERFOMANCE IS GOOD BUT  FEW APPLE MUST IMPROVE 1. Design very Round on Corner gives a feel of baby Toy, 2. Some thing must improve in iOS 17 its very Classic in this mordern era like Auto Rotate not possible on photos you will have to go home select rotate lock etc.READ MORE"
iphone 15,I Love iPhoneREAD MORE
iphone 15,NiceREAD MORE
iphone 15,Loving it!!! Delivery was quick .READ MORE
iphone 15,Device is getting too hot. It's looking like you have the burning stick.READ MORE
iphone 15,Awasome Phone Awasome Camera🐼........Rest is History DuduREAD MORE
iphone 15,Good stuff.. bss thora battery cazual hai 💀READ MORE
iphone 15,Good mobile but charging is getting down fastttREAD MORE
iphone 15,All are good 😊READ MORE
iphone 15,Looking Like Monster 🤍💙READ MORE
iphone 15,Awesome I switched from Android it's great feeling just go for it 🥰🥰🥰READ MORE
iphone 15,"Mind-blowing I love it Everything is greatttVery good battery backup, best camera, very good design.Update after using for 1 week: I legit have to charge my phone for 2times in a day else everything is greatREAD MORE"
iphone 15,Very good productREAD MORE
iphone 15,Good product with good discounts on Flipkart you can buy it through Flipkart easy process easy to buy best offers best price then other offline/online platformREAD MORE
iphone 15,Superb phone ❤️ I am using last 5 year of iPhoneREAD MORE
iphone 15,Good cameraREAD MORE
iphone 15,The colour blue is so good and the battery life is so long as compared to 14 the camera is much better than 14series best phone I experienced very goodREAD MORE
iphone 15,GoodREAD MORE
iphone 15,Just wowwww ❤️READ MORE
iphone 15,Best dealREAD MORE
iphone 15,"I have recently switched from Android to ios, it does feel very strange at the beginning but now I am getting habitual to the iosIt is really very nice and feels premium. The camera is also very nice. I am fully satisfied with this purchase.READ MORE"
iphone 15,Verrrry good productREAD MORE
iphone 15,This is adorable   Most important  C type charger  cable I am happy with  iPhones 15 series  ⭐️⭐️⭐️⭐️⭐️READ MORE
iphone 15,"I am very happy to buy it because its camera is very good and its performance is also very good, its features are also very good and will never make you bored. 😍READ MORE"
iphone 15,Genuine product. Thank you flipkartREAD MORE
iphone 15,OkREAD MORE
iphone 15,The iPhone 15 features a 48-megapixel main camera sensorIt is powered by the A16 Bionic SoCThe iPhone 15 now comes with Dynamic IREAD MORE
iphone 15,Best IphoneREAD MORE
iphone 15,I lovedREAD MORE
iphone 15,Nice product but battery issues please solowREAD MORE
iphone 15,Best dealREAD MORE
iphone 15,"Good display, improved display brightness, awesome cameraREAD MORE"
iphone 15,Great product:)READ MORE
iphone 15,Nice ProductREAD MORE
iphone 15,U all know about iPhone 15 so am very impressed with blue colour damn beautiful ❤️READ MORE
iphone 15,GoodREAD MORE
iphone 15,"Awesome phone, thanks to Flipkart for quick delivery. This is my 1st iOS experience so very excited .READ MORE"
iphone 15,Great phone!Thank you flipkart.READ MORE
iphone 15,for me its 10 out of 10✨READ MORE
iphone 15,Beautiful phoneREAD MORE
iphone 15,Very FabulousREAD MORE
iphone 15,Very good productREAD MORE
iphone 15,Super experience😘😘READ MORE
iphone 15,Awesome...READ MORE
iphone 15,Amazing camera but battery  perform not goodREAD MORE
iphone 15,Upgraded from iPhone 12 to 15 every thing is nice but little bit heating issues is coming while charging the phone I requesting apple to kindly resolve this issue in next update.READ MORE
iphone 15,"Body gets heated up. Apart from that, all good! Type C charger is a good relief! And amazing delivery by FlipKart too!READ MORE"
iphone 15,NICEREAD MORE
iphone 15,Nice product but battery 🔋 quality BadREAD MORE
iphone 15,Awesome Gaming and Photography ExperienceREAD MORE
iphone 15,It's an awesome experience but if ur a vlogger u need and android must but other wise it's a great  iphone till date👍READ MORE
iphone 15,Nice prodREAD MORE
iphone 15,Most useful deviceREAD MORE
iphone 15,Nice productREAD MORE
iphone 15,Excellent phone battery bakeup is also goodREAD MORE
iphone 15,Wonderful 👌🏻READ MORE
iphone 15,Very good handset once you purchase not change the Apple brand. 💯 original apple brand and authorised for Flipkart seller.READ MORE
iphone 15,All good in this n camera superbREAD MORE
iphone 15,Amazing product .camera quality is decent           Sound quality is amazing Display quality is superb.battery quality good overall very good.READ MORE
iphone 15,Night mode is so smoothREAD MORE
iphone 15,Awesome Phone with awesome camera. Updated from iphone 13 to 15 I love this.READ MORE
iphone 15,"As always fast delivery by flipkart,Stunning design, powerful performance, and exceptional camera quality define the iPhone 15. With its sleek build, vibrant display, and lightning-fast chip, it's a flagship smartphone that delivers on all fronts. Capture breathtaking photos, enjoy seamless multitasking, and experience all-day battery life. The iPhone 15 is a premium choice for those who demand the best.Go for it without any thinking if you are trying for premium segment.READ MORE"
iphone 15,Over all good after 20 days use I like itREAD MORE
iphone 15,Awesome Product Just Love ItREAD MORE
iphone 15,Very goodREAD MORE
iphone 15,Bery bery goodREAD MORE
iphone 15,NiceREAD MORE
iphone 15,BrilliantREAD MORE
iphone 15,AwsmREAD MORE
iphone 15,Nice phoneREAD MORE
iphone 15,OsmREAD MORE
iphone 15,Loved itREAD MORE
iphone 15,Amazing camera pic 😍READ MORE
iphone 15,Amazing camera qualityREAD MORE
iphone 15,NiceREAD MORE
iphone 15,BestREAD MORE
iphone 15,Mobile I got from Flipkart is really original and genuineREAD MORE
iphone 15,I have used this 1st time and never had an iPhone before this one and it's amazing just loved it...READ MORE
iphone 15,Nice camera and battery also.READ MORE
iphone 15,Camera Quality 👌💯👌READ MORE
iphone 15,"1. It is the best phone and worth every rupee in terms of its user interface, unique eco system, siri and some other options  which can be copied by other manufacturers but cant replicate (if incase a person thinks iphones are bit overpriced - they are pricing for their unique features)  2. In terms of camera, display, performance and in every other aspect it gives best output.3. In terms of this iPhone 15 series, the upgrade in this series is of leaps and bounds compared to other upgrades ...READ MORE"
iphone 15,"This is my first mobile from apple. Powerfull performance, very good camera..next level display.. 5 out of 5READ MORE"
iphone 15,Best CameraREAD MORE
iphone 15,Phone is super duper very nice hasome wonderfull miracleREAD MORE
iphone 15,Best phoneREAD MORE
iphone 15,Nice product awesome ExperienceREAD MORE
iphone 15,Superb Performance ✨READ MORE
iphone 15,"The innovative new design features back glass that has color infused throughout the material. A custom dual ion-exchange process for the glass, and an aerospace-grade aluminum enclosure, help make iPhone 15 incredibly durable. Dependably durable.READ MORE"
iphone 15,Money worth itREAD MORE
iphone 15,Good Performance.READ MORE
iphone 15,The Experience with new features is Amazing . Definately iphone 15 is better than 13 or 14 .READ MORE
iphone 15,"￼ I have taken the Apple first time, but the performance is not up to the mark. My apple 15  mobile is￼ lagging, every time, really not happy.READ MORE"
iphone 15,Good photo sutuREAD MORE
iphone 15,Long time android user. Thought of giving iOS a try. And now I understand why apple is apple. The highlight is the interaction between the hardware and the software. Android feels clunky in front of iOS. (Have used all Android skins and currently on s24+)READ MORE
iphone 15,Good phoneREAD MORE
iphone 15,It can be more better if display refresh rate has 120hzREAD MORE
iphone 15,Honest review after using it for a month! Best phone of apple so far camera battery performance are on top notch!READ MORE
iphone 15,Good camera and battery but ios is still far behind than Android in terms of ease.READ MORE
iphone 15,"All over i find it good except the heating issues, of course its type C but when you charge it with other cable it will heat like hell, and if you take it out in noon time and take photos ,it will heat else there were no performance or body shading issues ,the in hand feeling is awesomeREAD MORE"
iphone 15,Best product...READ MORE
iphone 15,GoodREAD MORE
iphone 15,Heating issueREAD MORE
iphone 15,Very good camera quality and performanceREAD MORE
iphone 15,very nice 15READ MORE
iphone 15,"iPhone is always the best in every quality category. Earlier, there were battery backup issues, but I am getting more than a day of battery backup. The island display in the basic model is really exciting, which was earlier in the Pro model only. I recommend you guys to go for it without any thought, if you don't require a high refresh rate display.READ MORE"
iphone 15,Excellent phoneREAD MORE
iphone 15,Product was genuine and great.READ MORE
iphone 15,Iam happyREAD MORE
iphone 15,Nice phone 📱READ MORE
iphone 15,The best mobile in IndiaREAD MORE
iphone 15,Superb Phone For this budget Fully satisfiedREAD MORE
iphone 15,Premium look and quality with excellent performanceREAD MORE
iphone 15,Battery life is unbelievableREAD MORE
iphone 15,Nice phone😍READ MORE
iphone 15,Nice productsREAD MORE
iphone 15,Green colour is so elegant so beautiful just like a wowwCamera quality better than 14READ MORE
iphone 15,"Product is average battery is average.Camara good,display good,touch response ok okLooks good.in hand feeling good,over all 3.5 starsREAD MORE"
iphone 15,Gud phoneREAD MORE
iphone 15,The camera is so beautiful and it takes good pics in portrait mode here are some sample picsREAD MORE
iphone 15,Best iPhone everREAD MORE
iphone 15,Camera is awesome display and sound quality is amazingREAD MORE
Phone Name,Review
pixel 8a,"Much premium mobile , butter smooth touch display, Fantastic camera quality definitely beat iPhone 15 in the camera department.Lots to play with AI .Overall : 9/10READ MORE"
pixel 8a,Got it for 27K by exchanging my pixel 6a and some card discount. Pros:- 1. Camera hardware is the same as pixel 7a. So it's one of the best. Takes great pictures in low-light as well 2. 7 yrs of software updates is no joke3. Best display in pixel a series just like 8 and 8pro4. Battery lasts for easily 9-10 hrs on 120hrz depending on your usage5. Tenor G3 same as 8 and 8pro Cons:- 1.mild heating sometimes 2. Slow charging with other charging bricks(Use Google pixel charger for fas...READ MORE
pixel 8a,Superb ❤️❤️❤️❤️ thanks filpkart thanks GoogleREAD MORE
pixel 8a,"Everything is perfect except 3 things in the battery department.1.No charger.2.Slow charging.3.Small battery.I suggest Google to look into this matter seriously to upgrade in pixel 9 series to the present market trend, otherwise they will be fade out just like Nokia.READ MORE"
pixel 8a,"Great phone. Love it. Everything is fine except for the exchange thing. Exchange guys, taking extra cash by just causing unnecessary trouble. They don't approve without paying extra cash to them. Flipkart should look into it.READ MORE"
pixel 8a,"1. The camera captures great details, but other competing phones even 1-2 year old out performs it (tried moon photo, night astrophotography, old orange bulb, trees with sky). Could not impress anyone with the cameras. Tried comparing with iphone 14, and other motorola and xiaomi phones of similar price range from 1-2 years ago.2. Charging speed is extremely slow and this doesn't support a lot of charging adapters and cables. One has to properly find perfect cable and adapter permutation to ...READ MORE"
pixel 8a,"This phone is a winner in terms of software, camera, design, and build quality. It boasts a premium look and feel, and the software delivers a fantastic user experience. However, the charging speed is on the slower side, so keep that in mind if fast charging is a priority for youREAD MORE"
pixel 8a,"Lightweight, compact in hand, feels premium, display and camera are awesome. On the first day I noticed the heating issue while setting up the phone and restoring the data. No network issue has been observed yet. On the 2nd day I've updated all the apps from the Play Store and updated the software with a security patch then started noticing less heating compared to the first day, But it heats a bit which is easily noticeable..READ MORE"
